geo_id,val,se,sample_size,date
or,6598,,,20190118
pa,23008,,,20190118
ri,1236,,,20190118
sc,22886,,,20190118
sd,1726,,,20190118
tn,35021,,,20190118
tx,148625,,,20190118
ut,6540,,,20190118
va,28682,,,20190118
vt,434,,,20190118
wa,9909,,,20190118
wi,12325,,,20190118
wv,5342,,,20190118
wy,1040,,,20190118
ak,382,,,20190119
al,30940,,,20190119
ar,11889,,,20190119
az,27521,,,20190119
ca,96682,,,20190119
co,18528,,,20190119
ct,3527,,,20190119
dc,2047,,,20190119
de,2752,,,20190119
fl,109677,,,20190119
ga,61183,,,20190119
hi,2350,,,20190119
ia,8576,,,20190119
id,3467,,,20190119
il,27591,,,20190119
in,17147,,,20190119
ks,10164,,,20190119
ky,17713,,,20190119
la,20207,,,20190119
ma,8265,,,20190119
md,16527,,,20190119
me,1360,,,20190119
mi,21074,,,20190119
mn,14014,,,20190119
mo,19591,,,20190119
ms,13268,,,20190119
mt,1467,,,20190119
nc,53358,,,20190119
nd,2878,,,20190119
ne,6695,,,20190119
nh,1700,,,20190119
nj,16160,,,20190119
nm,4879,,,20190119
nv,11865,,,20190119
ny,22980,,,20190119
oh,29632,,,20190119
ok,21503,,,20190119
or,7807,,,20190119
pa,20105,,,20190119
ri,1309,,,20190119
sc,25501,,,20190119
sd,2526,,,20190119
tn,38115,,,20190119
tx,160079,,,20190119
ut,7759,,,20190119
va,30133,,,20190119
vt,386,,,20190119
wa,11362,,,20190119
wi,12855,,,20190119
wv,5592,,,20190119
wy,1049,,,20190119
ak,312,,,20190120
al,27423,,,20190120
ar,11340,,,20190120
az,22418,,,20190120
ca,84892,,,20190120
co,14404,,,20190120
ct,1359,,,20190120
dc,1284,,,20190120
de,1971,,,20190120
fl,93236,,,20190120
ga,53180,,,20190120
hi,1977,,,20190120
ia,7311,,,20190120
id,2408,,,20190120
il,28583,,,20190120
in,16677,,,20190120
ks,7677,,,20190120
ky,11391,,,20190120
la,13827,,,20190120
ma,3119,,,20190120
md,12633,,,20190120
me,249,,,20190120
mi,19692,,,20190120
mn,10745,,,20190120
mo,16233,,,20190120
ms,10396,,,20190120
mt,1031,,,20190120
nc,43715,,,20190120
nd,2044,,,20190120
ne,5278,,,20190120
nh,416,,,20190120
nj,10775,,,20190120
nm,4017,,,20190120
nv,10035,,,20190120
ny,15887,,,20190120
oh,22980,,,20190120
ok,19745,,,20190120
or,6176,,,20190120
pa,14636,,,20190120
ri,558,,,20190120
sc,22199,,,20190120
sd,1871,,,20190120
tn,31807,,,20190120
tx,134565,,,20190120
ut,4217,,,20190120
va,23697,,,20190120
vt,105,,,20190120
wa,9303,,,20190120
wi,10812,,,20190120
wv,3212,,,20190120
wy,896,,,20190120
ak,255,,,20190121
al,24015,,,20190121
ar,9863,,,20190121
az,19040,,,20190121
ca,74077,,,20190121
co,12550,,,20190121
ct,2148,,,20190121
dc,1124,,,20190121
de,1667,,,20190121
fl,79604,,,20190121
ga,43976,,,20190121
hi,1838,,,20190121
ia,6787,,,20190121
id,2368,,,20190121
il,25788,,,20190121
in,16457,,,20190121
ks,8067,,,20190121
ky,13071,,,20190121
la,12230,,,20190121
ma,5342,,,20190121
md,10753,,,20190121
me,799,,,20190121
mi,16636,,,20190121
mn,9388,,,20190121
mo,16694,,,20190121
ms,8911,,,20190121
mt,860,,,20190121
nc,34162,,,20190121
nd,1649,,,20190121
ne,4249,,,20190121
nh,1117,,,20190121
nj,10480,,,20190121
nm,3444,,,20190121
nv,7860,,,20190121
ny,16545,,,20190121
oh,30133,,,20190121
ok,15638,,,20190121
or,5251,,,20190121
pa,15973,,,20190121
ri,806,,,20190121
sc,17053,,,20190121
sd,1646,,,20190121
tn,26431,,,20190121
tx,109660,,,20190121
ut,4637,,,20190121
va,19315,,,20190121
vt,257,,,20190121
wa,8180,,,20190121
wi,9295,,,20190121
wv,3528,,,20190121
wy,737,,,20190121
ak,254,,,20190122
al,20033,,,20190122
