state,county,business_closed,business_closed_date,business_closed_url,business_open,business_open_date,business_open_url,school_closed,school_closed_date,school_closed_url,school_open,school_open_date,school_open_url,college_closed,college_closed_date,college_closed_url,college_open,college_open_date,college_open_url,religion_closed,religion_closed_date,religion_closed_url,religion_open,religion_open_date,religion_open_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,lockdown_open,lockdown_open_date,lockdown_open_url
California,Alameda County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-13,https://patch.com/california/alameda/school-canceled-alameda-3-weeks-coronavirus,No,,,Yes,2020-04-10,https://news.berkeley.edu/2020/03/09/as-coronavirus-spreads-uc-berkeley-suspends-in-person-instruction/,No,,,Yes,2020-03-15,https://www.mercurynews.com/2020/03/13/coronavirus-bay-area-churches-temple-and-mosque-closures-and-live-streams/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,
California,Amador County,Yes,2020-03-20,https://www.amadorgov.org/home/showdocument?id=34889,No,,,Yes,2020-03-23,https://amadorcoe.org/,No,,,Yes,2020-03-16,http://www.ledger.news/news/acusd-announces-school-closures-through-march/article_50cfcc50-67b0-11ea-af20-ab18a2026d9c.html,No,,,Yes,2020-03-12,https://www.amadorgov.org/services/public-health/covid-19/emergency-declarations-and-health-officer-orders,No,,,Yes,2020-03-20,https://www.amadorgov.org/home/showdocument?id=34889,No,,
California,Contra Costa County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-16,https://www.sfchronicle.com/bayarea/article/Bay-Area-school-closures-Latest-updates-from-15129669.php,No,,,Yes,2020-03-16,https://richmondstandard.com/community/education/2020/03/13/contra-costa-college-to-begin-remote-instruction-monday/,No,,,Yes,2020-03-15,https://www.mercurynews.com/2020/03/13/coronavirus-bay-area-churches-temple-and-mosque-closures-and-live-streams/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,
California,Fresno County,Yes,2020-03-18,https://www.fresno.gov/wp-content/uploads/2020/03/EMERGENCY-ORDER-2020-02_SHELTER-IN-PLACE-3.18.20.pdf,No,,,Yes,2020-03-13,https://www.yourcentralvalley.com/news/education/school-closures/fresno-unified-school-district-suspends-classes-in-response-to-coronavirus-pandemic/,No,,,Yes,2020-03-12,http://fresnostate.edu/president/coronavirus/communication/3-12-20-president-castro.html,No,,,Yes,2020-03-13,https://www.kget.com/news/local-news/catholic-diocese-of-fresno-suspending-all-masses-operations-due-to-coronavirus/,No,,,Yes,2020-03-18,htt+AD2ps://www.fresno.gov/wp-content/uploads/2020/03/EMERGENCY-ORDER-2020-02_SHELTER-IN-PLACE-3.18.20.pdf,No,,
California,Humboldt County,Yes,2020-03-19,https://www.times-standard.com/2020/03/19/humboldt-county-shelter-in-place-starting-midnight-tonight-to-prevent-covid-19/,No,,,Yes,2020-03-16,https://hcoe.org/2020/03/humboldt-county-school-closures-as-of-march-15th/,No,,,Yes,2020-03-17,https://lostcoastoutpost.com/2020/mar/17/hsu-president-closes-campus-urges-students-dorms-r/,No,,,Yes,2020-03-18,https://lostcoastoutpost.com/2020/mar/18/church-closures-humboldts-houses-worship-are-offer/,No,,,Yes,2020-03-19,https://lostcoastoutpost.com/2020/mar/19/breaking-humboldt-county-shelter-place-order-take/,No,,
California,Imperial County,Yes,2020-03-20,http://www.icphd.org/media/managed/2019coronavirus/IC_Health_Officer_Order.pdf,No,,,Yes,2020-03-17,https://www.icoe.org/news/joint-notice-countywide-closure-all-public-schools-covid-19-closure-03172020,No,,,Yes,2020-03-16,https://www.imperial.edu/about/coronavirus/?from=square-homepage-graphic-left,No,,,Yes,2020-03-16,https://www.elcentrocatholic.org/,No,,,Yes,2020-03-17,https://imperialcounty.org/wp-content/uploads/2020/04/Amended-HO-Order-3-31-20.pdf,No,,
California,Inyo County,Yes,2020-03-20,https://www.inyocounty.us/sites/default/files/2020-03/ORDER_3.20.20_0.pdf,No,,,Yes,2020-03-16,http://inyocoe.org/wp-content/uploads/2020/03/COVID-19-Public-Announcement_2.pdf,No,,,Yes,2020-03-23,https://www.cerrocoso.edu/campus-safety/coronavirus-covid-19-updates,No,,,Yes,2020-03-27,https://olphbishop.org/current-parish-news,No,,,Yes,2020-03-20,https://www.inyocounty.us/sites/default/files/2020-03/ORDER_3.20.20_0.pdf,No,,
California,Los Angeles County,Yes,2020-03-19,https://www.lamayor.org/sites/g/files/wph446/f/article/files/SAFER_AT_HOME_ORDER2020.03.19.pdf,No,,,Yes,2020-03-27,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984,No,,,Yes,2020-03-10,https://abc7.com/6001308/,No,,,Yes,2020-03-19,https://covid19.ca.gov/img/N-33-20.pdf,No,,,Yes,2020-03-19,https://covid19.ca.gov/img/N-33-20.pdf,No,,
California,Madera County,,2020-03-20,https://www.maderacounty.com/home/showdocument?id=20310,No,,,Yes,2020-03-13,https://www.gov.ca.gov/wp-content/uploads/2020/03/3.13.20-EO-N-26-20-Schools.pdf,No,,,Yes,2020-03-20,https://www.maderacenter.com/news/2020/letter-to-mccc-and-occc-studentstransitioning-to-online-classes.html,No,,,Yes,2020-03-12,https://www.sacbee.com/entertainment/living/religion/article241135636.html,No,,,Yes,2020-03-20,https://www.maderacounty.com/home/showdocument?id=20310,No,,
California,Marin County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-16,https://www.marinij.com/2020/03/13/all-marin-public-schools-suspend-classes-for-2-weeks-amid-coronavirus-concerns/,No,,,Yes,2020-03-16,https://www.marinij.com/2020/03/11/latest-updates-marin-covid-19-closures-cancellations-restrictions-and-postpoments/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,
