,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,16860,2020-07-09,-1,20200714,5,28.8611441,,
0,16860,2020-07-10,-1,20200715,5,18.62026508,,
0,16860,2020-07-11,-1,20200716,5,10.0920347,,
0,16860,2020-07-12,-1,20200716,4,3.33257936,,
0,16860,2020-07-13,,20200717,4,15.06896844,,
0,16860,2020-07-14,,20200718,4,26.19238068,,
0,16860,2020-07-15,,20200719,4,36.80968584,,
0,16860,2020-07-16,,20200720,4,63.38380291,,
0,16860,2020-07-17,,20200721,4,52.16087511,,
0,16860,2020-07-18,,20200722,4,41.20349215,,
0,16860,2020-07-19,,20200723,4,49.84150634,,
0,16860,2020-07-20,,20200724,4,38.16224663,,
0,16860,2020-07-21,,20200725,4,27.45239058,,
0,16860,2020-07-22,,20200726,4,18.02222779,,
0,16860,2020-07-23,,20200727,4,10.07664016,,
0,16860,2020-07-24,,20200728,4,3.70650093,,
0,16860,2020-07-25,,20200729,4,37.03386871,,
0,16860,2020-07-26,,20200730,4,47.4483812,,
0,16860,2020-07-27,,20200731,4,37.9949593,,
0,16860,2020-07-28,,20200801,4,29.16067126,,
0,16860,2020-07-29,,20200802,4,55.67616854,,
0,16860,2020-07-30,,20200803,4,44.41253669,,
0,16860,2020-07-31,,20200804,4,33.77985856,,
0,16860,2020-08-01,,20200805,4,24.09648377,,
0,16860,2020-08-02,,20200806,4,15.61305161,,
0,16860,2020-08-03,,20200807,4,0.0,,
0,16860,2020-08-04,,20200808,4,2.80447438,,
0,16860,2020-08-05,,20200809,4,44.42533852,,
0,16860,2020-08-06,,20200810,4,0.0,,
