geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,data_source,county
6001,deaths_7dav_incidence_prop,25/5/2020,NA,12/11/2020,171,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,26/5/2020,NA,12/11/2020,170,0.059832624,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,27/5/2020,NA,12/11/2020,169,0.042737589,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,28/5/2020,NA,12/11/2020,168,0.034190071,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,29/5/2020,NA,12/11/2020,167,0.042737589,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,30/5/2020,NA,12/11/2020,166,0.025642553,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,31/5/2020,NA,12/11/2020,165,0.025642553,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,1/6/2020,NA,12/11/2020,164,0.025642553,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,2/6/2020,NA,12/11/2020,163,0.034190071,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,3/6/2020,NA,12/11/2020,162,0.034190071,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,4/6/2020,NA,12/11/2020,161,0.025642553,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,5/6/2020,NA,12/11/2020,160,0.051285106,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,6/6/2020,NA,12/11/2020,159,0.051285106,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,7/6/2020,NA,12/11/2020,158,0.042737589,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,8/6/2020,NA,12/11/2020,157,0.051285106,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,9/6/2020,NA,12/11/2020,156,0.042737589,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,10/6/2020,NA,12/11/2020,155,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,11/6/2020,NA,12/11/2020,154,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,12/6/2020,NA,12/11/2020,153,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,13/6/2020,NA,12/11/2020,152,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,14/6/2020,NA,12/11/2020,151,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,15/6/2020,NA,12/11/2020,150,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,16/6/2020,NA,12/11/2020,149,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,17/6/2020,NA,12/11/2020,148,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,18/6/2020,NA,12/11/2020,147,0.07692766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,19/6/2020,NA,12/11/2020,146,0.07692766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,20/6/2020,NA,12/11/2020,145,0.07692766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,21/6/2020,NA,12/11/2020,144,0.051285106,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,22/6/2020,NA,12/11/2020,143,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,23/6/2020,NA,12/11/2020,142,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,24/6/2020,NA,12/11/2020,141,0.051285106,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,25/6/2020,NA,12/11/2020,140,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,26/6/2020,NA,12/11/2020,139,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,27/6/2020,NA,12/11/2020,138,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,28/6/2020,NA,12/11/2020,137,0.128212766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,29/6/2020,NA,12/11/2020,136,0.111117731,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,30/6/2020,NA,12/11/2020,135,0.128212766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,1/7/2020,NA,12/11/2020,134,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,2/7/2020,NA,12/11/2020,133,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,3/7/2020,NA,12/11/2020,132,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,4/7/2020,NA,12/11/2020,131,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,5/7/2020,NA,12/11/2020,130,0.059832624,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,6/7/2020,NA,12/11/2020,129,0.059832624,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,7/7/2020,NA,12/11/2020,128,0.042737589,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,8/7/2020,NA,12/11/2020,127,0.051285106,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,9/7/2020,NA,12/11/2020,126,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,10/7/2020,NA,12/11/2020,125,0.059832624,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,11/7/2020,NA,12/11/2020,124,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,12/7/2020,NA,12/11/2020,123,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,13/7/2020,NA,12/11/2020,122,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,14/7/2020,NA,12/11/2020,121,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,15/7/2020,NA,12/11/2020,120,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,16/7/2020,NA,12/11/2020,119,0.068380142,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,17/7/2020,NA,12/11/2020,118,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,18/7/2020,NA,12/11/2020,117,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,19/7/2020,NA,12/11/2020,116,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,20/7/2020,NA,12/11/2020,115,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,21/7/2020,NA,12/11/2020,114,0.128212766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,22/7/2020,NA,12/11/2020,113,0.145307802,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,23/7/2020,NA,12/11/2020,112,0.162402837,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,24/7/2020,NA,12/11/2020,111,0.145307802,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,25/7/2020,NA,12/11/2020,110,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,26/7/2020,NA,12/11/2020,109,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,27/7/2020,NA,12/11/2020,108,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,28/7/2020,NA,12/11/2020,107,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,29/7/2020,NA,12/11/2020,106,0.085475177,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,30/7/2020,NA,12/11/2020,105,0.07692766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,31/7/2020,NA,12/11/2020,104,0.034190071,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,1/8/2020,NA,12/11/2020,103,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,2/8/2020,NA,12/11/2020,102,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,3/8/2020,NA,12/11/2020,101,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,4/8/2020,NA,12/11/2020,100,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,5/8/2020,NA,12/11/2020,99,0.102570213,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,6/8/2020,NA,12/11/2020,98,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,7/8/2020,NA,12/11/2020,97,0.094022695,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,8/8/2020,NA,12/11/2020,96,0.034190071,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,9/8/2020,NA,12/11/2020,95,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,10/8/2020,NA,12/11/2020,94,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,11/8/2020,NA,12/11/2020,93,0.111117731,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,12/8/2020,NA,12/11/2020,92,0.162402837,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,13/8/2020,NA,12/11/2020,91,0.196592908,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,14/8/2020,NA,12/11/2020,90,0.222235461,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,15/8/2020,NA,12/11/2020,89,0.222235461,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,16/8/2020,NA,12/11/2020,88,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,17/8/2020,NA,12/11/2020,87,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,18/8/2020,NA,12/11/2020,86,0.162402837,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,19/8/2020,NA,12/11/2020,85,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,20/8/2020,NA,12/11/2020,84,0.128212766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,21/8/2020,NA,12/11/2020,83,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,22/8/2020,NA,12/11/2020,82,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,23/8/2020,NA,12/11/2020,81,0.111117731,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,24/8/2020,NA,12/11/2020,80,0.111117731,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,25/8/2020,NA,12/11/2020,79,0.136760284,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,26/8/2020,NA,12/11/2020,78,0.128212766,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,27/8/2020,NA,12/11/2020,77,0.111117731,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,28/8/2020,NA,12/11/2020,76,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,29/8/2020,NA,12/11/2020,75,0.119665248,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,30/8/2020,NA,12/11/2020,74,0.196592908,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,31/8/2020,NA,12/11/2020,73,0.196592908,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,1/9/2020,NA,12/11/2020,72,0.145307802,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,2/9/2020,NA,12/11/2020,71,0.26497305,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,3/9/2020,NA,12/11/2020,70,0.435923405,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,4/9/2020,NA,12/11/2020,69,0.41882837,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,5/9/2020,NA,12/11/2020,68,0.444470923,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,6/9/2020,NA,12/11/2020,67,0.358995745,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,7/9/2020,NA,12/11/2020,66,0.367543263,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,8/9/2020,NA,12/11/2020,65,0.367543263,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,9/9/2020,NA,12/11/2020,64,0.247878015,NA,NA,indicator-combination,Alameda County
6001,deaths_7dav_incidence_prop,10/9/2020,NA,12/11/2020,63,0.068380142,NA,NA,indicator-combination,Alameda County
