No.,Index,Bandwidth_For_Smoothing,First_Derivative_Quantile_Threshold,Min_Percent_Increase,Period_Increase,Success_Window,Min_Success_Window,Number_Success_Examples,Most_Frequent_Leadingness,Recall,Precision,F1_score
283,154,12,0.5,0.2,7,21,1,5,4,0.002663116,0.002663116,0.002663116
284,189,10,0.5,0.2,3,21,1,4,2,0.002663116,0.002663116,0.002663116
285,200,7,0.85,0.1,3,21,1,13,3,0.002663116,0.002663116,0.002663116
286,203,14,0.5,0.1,3,21,1,7,4,0.002663116,0.002663116,0.002663116
287,212,7,0.85,0.15,3,21,1,12,5,0.002663116,0.002663116,0.002663116
288,215,14,0.5,0.15,3,21,1,6,4,0.002663116,0.002663116,0.002663116
289,225,10,0.5,0.2,5,14,3,2,6,0.002663116,0.002663116,0.002663116
290,226,12,0.5,0.2,5,14,3,2,4,0.002663116,0.002663116,0.002663116
291,262,12,0.5,0.2,7,14,3,2,4,0.002663116,0.002663116,0.002663116
292,297,10,0.5,0.2,3,14,3,2,6,0.002663116,0.002663116,0.002663116
293,308,7,0.85,0.1,3,14,3,2,6,0.002663116,0.002663116,0.002663116
294,311,14,0.5,0.1,3,14,3,2,4,0.002663116,0.002663116,0.002663116
295,320,7,0.85,0.15,3,14,3,2,6,0.002663116,0.002663116,0.002663116
296,323,14,0.5,0.15,3,14,3,2,4,0.002663116,0.002663116,0.002663116
297,333,10,0.5,0.2,5,21,3,2,6,0.002663116,0.002663116,0.002663116
298,334,12,0.5,0.2,5,21,3,4,4,0.002663116,0.002663116,0.002663116
299,370,12,0.5,0.2,7,21,3,4,4,0.002663116,0.002663116,0.002663116
300,405,10,0.5,0.2,3,21,3,2,6,0.002663116,0.002663116,0.002663116
301,416,7,0.85,0.1,3,21,3,8,10,0.002663116,0.002663116,0.002663116
302,419,14,0.5,0.1,3,21,3,2,4,0.002663116,0.002663116,0.002663116
303,428,7,0.85,0.15,3,21,3,8,5,0.002663116,0.002663116,0.002663116
304,431,14,0.5,0.15,3,21,3,3,4,0.002663116,0.002663116,0.002663116
305,13,10,0.75,0.1,5,14,1,3,3,0.001331558,0.001331558,0.001331558
306,25,10,0.75,0.15,5,14,1,2,3,0.001331558,0.001331558,0.001331558
307,33,10,0.5,0.15,5,14,1,2,2,0.001331558,0.001331558,0.001331558
308,34,12,0.5,0.15,5,14,1,3,2,0.001331558,0.001331558,0.001331558
309,69,10,0.5,0.15,7,14,1,2,2,0.001331558,0.001331558,0.001331558
310,70,12,0.5,0.15,7,14,1,3,2,0.001331558,0.001331558,0.001331558
311,82,12,0.5,0.2,3,14,1,2,2,0.001331558,0.001331558,0.001331558
312,85,10,0.75,0.1,3,14,1,2,3,0.001331558,0.001331558,0.001331558
313,97,10,0.75,0.15,3,14,1,2,3,0.001331558,0.001331558,0.001331558
314,105,10,0.5,0.15,3,14,1,2,2,0.001331558,0.001331558,0.001331558
315,106,12,0.5,0.15,3,14,1,3,2,0.001331558,0.001331558,0.001331558
316,121,10,0.75,0.1,5,21,1,9,3,0.001331558,0.001331558,0.001331558
317,133,10,0.75,0.15,5,21,1,10,3,0.001331558,0.001331558,0.001331558
318,141,10,0.5,0.15,5,21,1,3,14,0.001331558,0.001331558,0.001331558
319,142,12,0.5,0.15,5,21,1,5,4,0.001331558,0.001331558,0.001331558
320,177,10,0.5,0.15,7,21,1,3,14,0.001331558,0.001331558,0.001331558
321,178,12,0.5,0.15,7,21,1,5,4,0.001331558,0.001331558,0.001331558
322,190,12,0.5,0.2,3,21,1,4,4,0.001331558,0.001331558,0.001331558
323,193,10,0.75,0.1,3,21,1,7,3,0.001331558,0.001331558,0.001331558
324,205,10,0.75,0.15,3,21,1,8,3,0.001331558,0.001331558,0.001331558
325,213,10,0.5,0.15,3,21,1,3,14,0.001331558,0.001331558,0.001331558
326,214,12,0.5,0.15,3,21,1,5,4,0.001331558,0.001331558,0.001331558
